Parent,Child
stage_out_local_condorpool_1_0,['cleanup_casa_wind_wf-20200817T054329Z_0_condorpool']
stage_out_local_condorpool_2_0,['cleanup_casa_wind_wf-20200817T054329Z_0_condorpool']
stage_out_local_condorpool_3_0,['cleanup_casa_wind_wf-20200817T054329Z_0_condorpool']
gunzip_ID0000004,['um_vel_ID0000018']
gunzip_ID0000003,['um_vel_ID0000018']
gunzip_ID0000002,['um_vel_ID0000018']
gunzip_ID0000001,['um_vel_ID0000018']
gunzip_ID0000008,['um_vel_ID0000018']
gunzip_ID0000007,['um_vel_ID0000018']
gunzip_ID0000006,['um_vel_ID0000018']
pointalert_ID0000021,['stage_out_local_condorpool_3_0']
gunzip_ID0000005,['um_vel_ID0000018']
gunzip_ID0000009,['um_vel_ID0000018']
um_vel_ID0000018,"['stage_out_local_condorpool_1_0', 'merged_netcdf2png_ID0000019', 'mvt_ID0000020']"
mvt_ID0000020,"['stage_out_local_condorpool_2_0', 'pointalert_ID0000021']"
gunzip_ID0000011,['um_vel_ID0000018']
create_dir_casa_wind_wf-20200817T054329Z_0_condorpool,"['gunzip_ID0000009', 'gunzip_ID0000011', 'gunzip_ID0000010', 'gunzip_ID0000004', 'gunzip_ID0000015', 'gunzip_ID0000003', 'gunzip_ID0000014', 'gunzip_ID0000002', 'gunzip_ID0000013', 'gunzip_ID0000001', 'gunzip_ID0000012', 'gunzip_ID0000008', 'gunzip_ID0000007', 'gunzip_ID0000006', 'gunzip_ID0000017', 'gunzip_ID0000005', 'gunzip_ID0000016']"
gunzip_ID0000010,['um_vel_ID0000018']
gunzip_ID0000015,['um_vel_ID0000018']
gunzip_ID0000014,['um_vel_ID0000018']
gunzip_ID0000013,['um_vel_ID0000018']
gunzip_ID0000012,['um_vel_ID0000018']
merged_netcdf2png_ID0000019,['stage_out_local_condorpool_2_0']
gunzip_ID0000017,['um_vel_ID0000018']
gunzip_ID0000016,['um_vel_ID0000018']
